Component1,Component2,Component3,Component4
[2016-12-20,00:00:38325],INFO,Deleting segment 912806 from log test-1. (kafka.log.Log)
[2016-12-20,00:00:38326],INFO,Deleting segment 912788 from log test-4. (kafka.log.Log)
[2016-12-20,00:00:38327],INFO,Deleting index /tmp/kafka-logs/test-4/00000000000000912788.index.deleted (kafka.log.OffsetIndex)
[2016-12-20,00:00:38328],INFO,Deleting index /tmp/kafka-logs/test-4/00000000000000912788.timeindex.deleted (kafka.log.TimeIndex)
[2016-12-20,00:00:38329],INFO,Deleting index /tmp/kafka-logs/test-1/00000000000000912806.index.deleted (kafka.log.OffsetIndex)
[2016-12-20,00:00:38329],INFO,Deleting index /tmp/kafka-logs/test-1/00000000000000912806.timeindex.deleted (kafka.log.TimeIndex)
[2016-12-20,00:02:15918],INFO,Rolled new log segment for 'test-5' in 1 ms. (kafka.log.Log)
[2016-12-20,00:02:16069],INFO,Rolled new log segment for 'test-0' in 1 ms. (kafka.log.Log)
[2016-12-20,00:02:18323],INFO,Scheduling log segment 924449 for log test-0 for deletion. (kafka.log.Log)
[2016-12-20,00:02:18324],INFO,Scheduling log segment 924414 for log test-5 for deletion. (kafka.log.Log)
[2016-12-20,00:03:18324],INFO,Deleting segment 924449 from log test-0. (kafka.log.Log)
[2016-12-20,00:03:18326],INFO,Deleting segment 924414 from log test-5. (kafka.log.Log)
[2016-12-20,00:03:18326],INFO,Deleting index /tmp/kafka-logs/test-0/00000000000000924449.index.deleted (kafka.log.OffsetIndex)
[2016-12-20,00:03:18327],INFO,Deleting index /tmp/kafka-logs/test-0/00000000000000924449.timeindex.deleted (kafka.log.TimeIndex)
[2016-12-20,00:03:18328],INFO,Deleting index /tmp/kafka-logs/test-5/00000000000000924414.index.deleted (kafka.log.OffsetIndex)
[2016-12-20,00:03:18329],INFO,Deleting index /tmp/kafka-logs/test-5/00000000000000924414.timeindex.deleted (kafka.log.TimeIndex)
[2016-12-20,00:03:23109],INFO,Rolled new log segment for 'test-4' in 0 ms. (kafka.log.Log)
[2016-12-20,00:03:23748],INFO,Rolled new log segment for 'test-1' in 5 ms. (kafka.log.Log)
[2016-12-20,00:03:28323],INFO,Scheduling log segment 924424 for log test-1 for deletion. (kafka.log.Log)
[2016-12-20,00:03:28324],INFO,Scheduling log segment 924408 for log test-4 for deletion. (kafka.log.Log)
[2016-12-20,00:04:28324],INFO,Deleting segment 924424 from log test-1. (kafka.log.Log)
[2016-12-20,00:04:28325],INFO,Deleting segment 924408 from log test-4. (kafka.log.Log)
